"feature id","feature label","shid","geoid","Median Household Income (2020-2024)","Owner Occupied Household Median Income (2020-2024)","Renter Occupied Household Median Income (2020-2024)","Excessive Housing Costs (Housing Costs 30 Percent or More of Income) (2020-2024)","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","People Below Poverty Level (2020-2024)","Low Income Population (Income is 200% or Under the Poverty Level) (2020-2024)"
"publicpolygonfeature:5:41095","ZIP Code 32202","country:us/state:fl/zip:32202","32202","34825",,"33784","1098","1038","60","1400","1971"
"publicpolygonfeature:5:41100","ZIP Code 32204","country:us/state:fl/zip:32204","32204","65063","103992","49144","1912","1674","238","1733","2886"
"publicpolygonfeature:5:41113","ZIP Code 32205","country:us/state:fl/zip:32205","32205","64789","86262","48174","4985","3205","1780","4540","9157"
"publicpolygonfeature:5:41181","ZIP Code 32206","country:us/state:fl/zip:32206","32206","39242","60344","27213","2950","2002","948","5534","9816"
"publicpolygonfeature:5:41191","ZIP Code 32207","country:us/state:fl/zip:32207","32207","65234","92386","49003","5896","3670","2226","4763","11367"
"publicpolygonfeature:5:41305","ZIP Code 32208","country:us/state:fl/zip:32208","32208","41324","47839","37047","5958","3356","2602","9199","16413"
"publicpolygonfeature:5:41320","ZIP Code 32209","country:us/state:fl/zip:32209","32209","30514","35467","25050","6629","4589","2040","13032","23230"
"publicpolygonfeature:5:42990","ZIP Code 32210","country:us/state:fl/zip:32210","32210","61050","78806","42498","10416","6816","3600","10833","25554"
"publicpolygonfeature:5:42992","ZIP Code 32211","country:us/state:fl/zip:32211","32211","57021","72510","34393","5341","3655","1686","8301","16314"
"publicpolygonfeature:5:42993","ZIP Code 32212","country:us/state:fl/zip:32212","32212","51422",,"51422","87","87","0","137","335"
"publicpolygonfeature:5:42997","ZIP Code 32216","country:us/state:fl/zip:32216","32216","61821","82426","39497","8024","5745","2279","7234","15060"
"publicpolygonfeature:5:43001","ZIP Code 32217","country:us/state:fl/zip:32217","32217","73832","102128","51457","2825","1764","1061","2230","5625"
"publicpolygonfeature:5:43007","ZIP Code 32223","country:us/state:fl/zip:32223","32223","95347","106899","69038","2944","872","2072","1628","4585"
"publicpolygonfeature:5:43011","ZIP Code 32254","country:us/state:fl/zip:32254","32254","34953","35913","34138","2425","1442","983","4700","8881"
"publicpolygonfeature:5:43013","ZIP Code 32256","country:us/state:fl/zip:32256","32256","73570","99256","69355","11401","8404","2997","5423","11395"
"publicpolygonfeature:5:43015","ZIP Code 32257","country:us/state:fl/zip:32257","32257","75780","107384","51994","6311","4536","1775","4802","11364"
"publicpolygonfeature:5:43016","ZIP Code 32258","country:us/state:fl/zip:32258","32258","102204","124438","77069","4432","2907","1525","3174","6767"
"publicpolygonfeature:5:43019","ZIP Code 32266","country:us/state:fl/zip:32266","32266","119294","124848","72500","922","413","509","220","742"
"publicpolygonfeature:5:43041","ZIP Code 32277","country:us/state:fl/zip:32277","32277","61554","86635","39758","5705","4019","1686","6456","13661"
"publicpolygonfeature:5:43262","ZIP Code 32218","country:us/state:fl/zip:32218","32218","69638","81667","53893","9419","4557","4862","7949","24350"
"publicpolygonfeature:5:43263","ZIP Code 32219","country:us/state:fl/zip:32219","32219","72184","72047","73393","1011","235","776","1347","4298"
"publicpolygonfeature:5:43264","ZIP Code 32220","country:us/state:fl/zip:32220","32220","81792","83456","64625","1065","251","814","1336","3213"
"publicpolygonfeature:5:43265","ZIP Code 32221","country:us/state:fl/zip:32221","32221","82969","89645","67265","3390","1163","2227","2675","8136"
"publicpolygonfeature:5:43266","ZIP Code 32222","country:us/state:fl/zip:32222","32222","85649","104245","63333","2700","1152","1548","1077","3966"
"publicpolygonfeature:5:43267","ZIP Code 32224","country:us/state:fl/zip:32224","32224","88259","132930","57728","6414","4786","1628","4008","8731"
"publicpolygonfeature:5:43268","ZIP Code 32225","country:us/state:fl/zip:32225","32225","90559","102213","58902","6872","3525","3347","4454","12131"
"publicpolygonfeature:5:43269","ZIP Code 32226","country:us/state:fl/zip:32226","32226","110179","114152","57917","1964","505","1459","1344","3059"
"publicpolygonfeature:5:43270","ZIP Code 32227","country:us/state:fl/zip:32227","32227","85833",,"84844","284","284","0","181","474"
"publicpolygonfeature:5:43271","ZIP Code 32228","country:us/state:fl/zip:32228","32228",,,,"0","0","0","0","0"
"publicpolygonfeature:5:43272","ZIP Code 32233","country:us/state:fl/zip:32233","32233","89185","111106","65245","3656","2336","1320","2327","5898"
"publicpolygonfeature:5:43273","ZIP Code 32234","country:us/state:fl/zip:32234","32234","87331","98063","33563","717","165","552","380","2276"
"publicpolygonfeature:5:43274","ZIP Code 32244","country:us/state:fl/zip:32244","32244","62204","76849","48308","9488","5854","3634","10223","23118"
"publicpolygonfeature:5:43275","ZIP Code 32246","country:us/state:fl/zip:32246","32246","80963","95487","70269","8757","5337","3420","7243","19426"
"publicpolygonfeature:5:43276","ZIP Code 32250","country:us/state:fl/zip:32250","32250","117724","140938","72941","3816","1777","2039","1667","4363"
"publicpolygonfeature:5:6684281","ZIP Code 32214","country:us/state:fl/zip:32214","32214",,,,"0","0","0","0","0"
"publicpolygonfeature:5:6703033","ZIP Code 32203","country:us/state:fl/zip:32203","32203",,,,"0","0","0","0","0"
"publicpolygonfeature:3:742","Duval County, FL","country:us/state:fl/county:duval","12031","71277","90459","51674","150183","92244","57939","141504","318405"
