feature id,feature label,shid,geoid,Environmental Hazard Community Resilience Score (2025),Environmental Hazard Expected Annual Loss Total (2025),Social Vulnerability to Environmental Hazards (2024),Air Toxics Cancer Risk Environmental Justice Index (2023),Traffic Proximity and Volume Environmental Justice Index (2024)
publicpolygonfeature:5:41095,ZIP Code 32202,country:us/state:fl/zip:32202,32202,49.78,3447393.751,0.5672,36.3056,225.6167
publicpolygonfeature:5:41100,ZIP Code 32204,country:us/state:fl/zip:32204,32204,49.78,4758411.616,0.5139,20.3945,120.7258
publicpolygonfeature:5:41113,ZIP Code 32205,country:us/state:fl/zip:32205,32205,49.78,8929993.683,0.3958,19.7278,107.3009
publicpolygonfeature:5:41181,ZIP Code 32206,country:us/state:fl/zip:32206,32206,49.78,5788515.453,0.4812,36.4249,207.178
publicpolygonfeature:5:41191,ZIP Code 32207,country:us/state:fl/zip:32207,32207,49.78,12075938.77,0.3883,20.9928,115.4521
publicpolygonfeature:5:41305,ZIP Code 32208,country:us/state:fl/zip:32208,32208,49.78,8315990.557,0.4757,36.0386,157.4275
publicpolygonfeature:5:41320,ZIP Code 32209,country:us/state:fl/zip:32209,32209,49.78,9701901.985,0.5425,42.5825,218.1741
publicpolygonfeature:5:42990,ZIP Code 32210,country:us/state:fl/zip:32210,32210,49.78,16225582.07,0.4258,24.6993,100.3149
publicpolygonfeature:5:42992,ZIP Code 32211,country:us/state:fl/zip:32211,32211,49.78,6313572.13,0.4169,26.1213,132.4444
publicpolygonfeature:5:42993,ZIP Code 32212,country:us/state:fl/zip:32212,32212,49.78,519762.9466,,22.1398,98.9524
publicpolygonfeature:5:42997,ZIP Code 32216,country:us/state:fl/zip:32216,32216,49.78,9326675.328,0.4107,23.8231,109.0914
publicpolygonfeature:5:43001,ZIP Code 32217,country:us/state:fl/zip:32217,32217,49.78,6769202.773,0.3891,17.7796,88.29
publicpolygonfeature:5:43007,ZIP Code 32223,country:us/state:fl/zip:32223,32223,49.78,7029218.64,0.3639,10.1384,43.7161
publicpolygonfeature:5:43011,ZIP Code 32254,country:us/state:fl/zip:32254,32254,49.78,6742187.09,0.4956,33.2958,174.2608
publicpolygonfeature:5:43013,ZIP Code 32256,country:us/state:fl/zip:32256,32256,49.78,16355625.62,0.4068,18.3333,84.9432
publicpolygonfeature:5:43015,ZIP Code 32257,country:us/state:fl/zip:32257,32257,49.78,10413209.54,0.4058,16.4304,69.7244
publicpolygonfeature:5:43016,ZIP Code 32258,country:us/state:fl/zip:32258,32258,49.78,9883118.862,0.3204,12.6569,48.6153
publicpolygonfeature:5:43019,ZIP Code 32266,country:us/state:fl/zip:32266,32266,49.78,2094786.739,0.361,0.6658,19.51
publicpolygonfeature:5:43041,ZIP Code 32277,country:us/state:fl/zip:32277,32277,49.78,5850318.009,0.4136,24.508,111.1025
publicpolygonfeature:5:43262,ZIP Code 32218,country:us/state:fl/zip:32218,32218,49.78,16934660.71,0.3825,25.3789,89.1665
publicpolygonfeature:5:43263,ZIP Code 32219,country:us/state:fl/zip:32219,32219,49.78,4496053.186,0.3548,24.5736,81.2047
publicpolygonfeature:5:43264,ZIP Code 32220,country:us/state:fl/zip:32220,32220,49.78,4006601.827,0.3954,16.2394,56.3331
publicpolygonfeature:5:43265,ZIP Code 32221,country:us/state:fl/zip:32221,32221,49.78,7604386.739,0.3591,20.9543,65.4938
publicpolygonfeature:5:43266,ZIP Code 32222,country:us/state:fl/zip:32222,32222,49.78,2931348.698,0.3221,22.7632,53.9998
publicpolygonfeature:5:43267,ZIP Code 32224,country:us/state:fl/zip:32224,32224,49.82,12418373.72,0.3798,7.3866,53.6196
publicpolygonfeature:5:43268,ZIP Code 32225,country:us/state:fl/zip:32225,32225,49.78,13401643.37,0.34,9.2253,54.4967
publicpolygonfeature:5:43269,ZIP Code 32226,country:us/state:fl/zip:32226,32226,49.78,6278103.832,0.3298,12.7283,24.5745
publicpolygonfeature:5:43270,ZIP Code 32227,country:us/state:fl/zip:32227,32227,49.78,830933.7713,,1.765,33.5105
publicpolygonfeature:5:43271,ZIP Code 32228,country:us/state:fl/zip:32228,32228,49.78,47902.3573,,1.765,33.5105
publicpolygonfeature:5:43272,ZIP Code 32233,country:us/state:fl/zip:32233,32233,49.78,5526581.309,0.4268,1.2984,36.1609
publicpolygonfeature:5:43273,ZIP Code 32234,country:us/state:fl/zip:32234,32234,47.45,2120823.951,0.3394,13.2396,22.1876
publicpolygonfeature:5:43274,ZIP Code 32244,country:us/state:fl/zip:32244,32244,49.78,14603890.63,0.4006,25.0252,87.4765
publicpolygonfeature:5:43275,ZIP Code 32246,country:us/state:fl/zip:32246,32246,49.78,11890348.46,0.3566,18.1923,93.9752
publicpolygonfeature:5:43276,ZIP Code 32250,country:us/state:fl/zip:32250,32250,49.78,9782746.943,0.3876,0.9137,30.4204
publicpolygonfeature:5:6684281,ZIP Code 32214,country:us/state:fl/zip:32214,32214,,0,,,
publicpolygonfeature:5:6703033,ZIP Code 32203,country:us/state:fl/zip:32203,32203,49.78,3730.1415,,43.186,278.2045
publicpolygonfeature:3:742,"Duval County, FL",country:us/state:fl/county:duval,12031,62.09,263916601,0.4801,20.0895,91.6204
