feature id,feature label,shid,geoid,Mental Health Providers (2025),Total Health Care Workers (2025),People with Health Insurance (2020-2024),People without Health Insurance (2020-2024),Age 18 and Under with Health Insurance (2020-2024),Age 18 and Under without Health Insurance (2020-2024),Lack of Health Insurance Among Adults (2023),People with Private Health Insurance (2020-2024),People with Public Health Insurance (2020-2024)
publicpolygonfeature:5:41095,ZIP Code 32202,country:us/state:fl/zip:32202,32202,33,268,2819,678,180,31,27.4,1536,1567
publicpolygonfeature:5:41100,ZIP Code 32204,country:us/state:fl/zip:32204,32204,83,1709,7638,1009,706,104,14.7,4764,3947
publicpolygonfeature:5:41113,ZIP Code 32205,country:us/state:fl/zip:32205,32205,34,441,26158,2771,5350,372,12.7,18953,9738
publicpolygonfeature:5:41181,ZIP Code 32206,country:us/state:fl/zip:32206,32206,21,337,15030,1975,4251,200,18.9,7673,8441
publicpolygonfeature:5:41191,ZIP Code 32207,country:us/state:fl/zip:32207,32207,472,4352,33171,3607,7629,223,14.7,24086,12329
publicpolygonfeature:5:41305,ZIP Code 32208,country:us/state:fl/zip:32208,32208,72,446,28683,3861,8498,660,17.4,15138,17827
publicpolygonfeature:5:41320,ZIP Code 32209,country:us/state:fl/zip:32209,32209,54,2808,30228,4335,9190,532,19.5,13470,20966
publicpolygonfeature:5:42990,ZIP Code 32210,country:us/state:fl/zip:32210,32210,95,829,56524,8712,15067,1417,15.8,37866,26459
publicpolygonfeature:5:42992,ZIP Code 32211,country:us/state:fl/zip:32211,32211,69,572,31595,4576,9292,694,18,20363,14544
publicpolygonfeature:5:42993,ZIP Code 32212,country:us/state:fl/zip:32212,32212,4,296,460,0,285,0,16.3,460,126
publicpolygonfeature:5:42997,ZIP Code 32216,country:us/state:fl/zip:32216,32216,237,3353,35893,5237,9415,658,14.9,26983,12362
publicpolygonfeature:5:43001,ZIP Code 32217,country:us/state:fl/zip:32217,32217,76,552,17857,2114,4126,272,13,13173,6732
publicpolygonfeature:5:43007,ZIP Code 32223,country:us/state:fl/zip:32223,32223,66,1237,24363,1433,5266,146,10.1,18863,8814
publicpolygonfeature:5:43011,ZIP Code 32254,country:us/state:fl/zip:32254,32254,90,334,11705,2149,3916,128,20.1,5585,7571
publicpolygonfeature:5:43013,ZIP Code 32256,country:us/state:fl/zip:32256,32256,184,2270,51498,5689,9603,406,10.5,43192,13070
publicpolygonfeature:5:43015,ZIP Code 32257,country:us/state:fl/zip:32257,32257,80,768,36831,5120,8153,1055,12.1,28743,12210
publicpolygonfeature:5:43016,ZIP Code 32258,country:us/state:fl/zip:32258,32258,48,1159,34947,4728,9523,712,10,31254,7334
publicpolygonfeature:5:43019,ZIP Code 32266,country:us/state:fl/zip:32266,32266,29,146,6692,437,901,102,7.1,5978,1707
publicpolygonfeature:5:43041,ZIP Code 32277,country:us/state:fl/zip:32277,32277,6,286,30414,5456,9121,1069,15.1,21774,11936
publicpolygonfeature:5:43262,ZIP Code 32218,country:us/state:fl/zip:32218,32218,143,1297,63250,7900,17604,1883,13.8,45045,25169
publicpolygonfeature:5:43263,ZIP Code 32219,country:us/state:fl/zip:32219,32219,6,123,12197,1695,3468,332,13.4,8356,5376
publicpolygonfeature:5:43264,ZIP Code 32220,country:us/state:fl/zip:32220,32220,3,54,11018,1151,2194,231,13.8,8079,4552
publicpolygonfeature:5:43265,ZIP Code 32221,country:us/state:fl/zip:32221,32221,18,285,28398,3961,7580,880,12.7,22537,9543
publicpolygonfeature:5:43266,ZIP Code 32222,country:us/state:fl/zip:32222,32222,14,130,16269,1367,4150,17,13.9,13624,4945
publicpolygonfeature:5:43267,ZIP Code 32224,country:us/state:fl/zip:32224,32224,61,4439,36914,4021,7700,1007,10.5,31630,9517
publicpolygonfeature:5:43268,ZIP Code 32225,country:us/state:fl/zip:32225,32225,40,792,50394,4594,12771,612,10.7,42593,14743
publicpolygonfeature:5:43269,ZIP Code 32226,country:us/state:fl/zip:32226,32226,9,137,18980,1481,5314,337,10.4,15917,6057
publicpolygonfeature:5:43270,ZIP Code 32227,country:us/state:fl/zip:32227,32227,2,13,1711,62,832,32,16.7,1690,300
publicpolygonfeature:5:43271,ZIP Code 32228,country:us/state:fl/zip:32228,32228,1,77,0,0,0,0,15.5,0,0
publicpolygonfeature:5:43272,ZIP Code 32233,country:us/state:fl/zip:32233,32233,16,253,20896,2284,4811,425,11.9,17216,7627
publicpolygonfeature:5:43273,ZIP Code 32234,country:us/state:fl/zip:32234,32234,0,18,8868,687,3016,41,12.6,6938,2955
publicpolygonfeature:5:43274,ZIP Code 32244,country:us/state:fl/zip:32244,32244,39,653,54410,7780,14180,1079,15.2,37666,23866
publicpolygonfeature:5:43275,ZIP Code 32246,country:us/state:fl/zip:32246,32246,43,597,55184,6447,14655,560,13.1,43223,18086
publicpolygonfeature:5:43276,ZIP Code 32250,country:us/state:fl/zip:32250,32250,81,1125,26326,2299,5097,572,9.3,22090,8451
publicpolygonfeature:5:6684281,ZIP Code 32214,country:us/state:fl/zip:32214,32214,19,712,0,0,0,0,,0,0
publicpolygonfeature:5:6703033,ZIP Code 32203,country:us/state:fl/zip:32203,32203,0,6,0,0,0,0,,0,0
publicpolygonfeature:3:742,"Duval County, FL",country:us/state:fl/county:duval,12031,2153,31315,889218,110121,224218,16970,13.6,658252,339293
