"feature id","feature label","shid","geoid","People 1/2 Mile Urban/10 Miles Rural with Low Access to Healthy Food (2019)","People 1 Miles Urban/10 Miles Rural with Low Access to Healthy Food (2019)","People 1 Mile Urban/20 Miles Rural with Low Access to Healthy Food (2019)","Low Income People (USDA) (2019)","Children Age 17 and Under (USDA) (2019)","Seniors Age 65 and Over (USDA) (2019)","White Population (USDA) (2019)","Black or African American Population (USDA) (2019)","Asian Population (USDA) (2019)","Native Hawaiian and Other Pacific Islander Population (USDA) (2019)","American Indian and Alaska Native Population (USDA) (2019)","Other/Multiple Race Population (USDA) (2019)"
"publicpolygonfeature:5:41095","ZIP Code 32202","country:us/state:fl/zip:32202","32202","1325","54","54","2127","624","799","2428","4313","66","6","17","123"
"publicpolygonfeature:5:41100","ZIP Code 32204","country:us/state:fl/zip:32204","32204","3870","1222","1222","3147","1201","1422","4439","2513","163","3","31","274"
"publicpolygonfeature:5:41113","ZIP Code 32205","country:us/state:fl/zip:32205","32205","20006","4888","4888","11875","6074","3245","19603","6676","582","27","119","1234"
"publicpolygonfeature:5:41181","ZIP Code 32206","country:us/state:fl/zip:32206","32206","12868","4805","4805","10411","4720","1801","3358","13884","82","7","71","452"
"publicpolygonfeature:5:41191","ZIP Code 32207","country:us/state:fl/zip:32207","32207","23591","8675","8675","15060","7224","4319","23155","6817","1452","14","134","1970"
"publicpolygonfeature:5:41305","ZIP Code 32208","country:us/state:fl/zip:32208","32208","24616","8639","8639","16377","7982","4475","5277","25472","114","1","102","619"
"publicpolygonfeature:5:41320","ZIP Code 32209","country:us/state:fl/zip:32209","32209","19874","5529","5529","22855","8986","5501","893","32455","28","3","89","402"
"publicpolygonfeature:5:42990","ZIP Code 32210","country:us/state:fl/zip:32210","32210","43359","15446","15446","26088","15464","6993","34440","19737","2198","66","212","3395"
"publicpolygonfeature:5:42992","ZIP Code 32211","country:us/state:fl/zip:32211","32211","20619","5451","5451","15339","7354","3497","17400","10108","708","41","153","1864"
"publicpolygonfeature:5:42993","ZIP Code 32212","country:us/state:fl/zip:32212","32212","1670","1667","1667","475","287","35","1200","262","39","7","18","151"
"publicpolygonfeature:5:42997","ZIP Code 32216","country:us/state:fl/zip:32216","32216","25614","5349","5349","14350","7401","4639","24566","6770","1926","35","129","2244"
"publicpolygonfeature:5:43001","ZIP Code 32217","country:us/state:fl/zip:32217","32217","14944","8287","8287","6218","3698","3313","14050","2766","727","13","94","961"
"publicpolygonfeature:5:43007","ZIP Code 32223","country:us/state:fl/zip:32223","32223","16732","6075","6075","4624","5114","3280","21264","1169","614","18","53","780"
"publicpolygonfeature:5:43011","ZIP Code 32254","country:us/state:fl/zip:32254","32254","11441","7226","7226","8156","3822","1316","4605","8288","85","4","70","495"
"publicpolygonfeature:5:43013","ZIP Code 32256","country:us/state:fl/zip:32256","32256","25764","9208","9208","10134","7845","3915","26292","5852","4756","19","136","2071"
"publicpolygonfeature:5:43015","ZIP Code 32257","country:us/state:fl/zip:32257","32257","20338","5398","5398","12146","8130","4668","28757","4385","1328","33","139","1796"
"publicpolygonfeature:5:43016","ZIP Code 32258","country:us/state:fl/zip:32258","32258","16749","11382","11382","4470","5882","2201","19343","2209","2138","19","62","1034"
